swimmer_name,swimmer_ID,event,event_ID,time,meet_name,year,date,additional_info
David G Bajwa,1244532,200 Free Y,1200,24.92,PV Senior Kick Off, 2019,"Oct 05, 2019",['Extracted']
David G Bajwa,1244532,200 Free Y,1200,23.68,Potomac Valley Senior Championships, 2019,"Mar 08, 2019",[]
David G Bajwa,1244532,200 Free Y,1200,23.69,PV DCPR 33rd Black History Invitational, 2019,"Feb 16, 2019",[]
David G Bajwa,1244532,200 Free Y,1200,24.71,PV January Open - Audrey, 2019,"Jan 20, 2019",[]
David G Bajwa,1244532,200 Free Y,1200,23.74,PV Turkey Claus Showdown, 2018,"Dec 02, 2018",[]
David G Bajwa,1244532,200 Free Y,1200,23.99,VA HOKI November Invitational, 2018,"Nov 11, 2018",[]
David G Bajwa,1244532,200 Free Y,1200,25.77,Turkey Claus Showdown, 2017,"Dec 03, 2017",[]
David G Bajwa,1244532,200 Free Y,1200,25.73,Turkey Claus Showdown, 2017,"Dec 03, 2017",[]
David G Bajwa,1244532,200 Free Y,1200,26.80,PV Oct Open - Lee Distric, 2017,"Oct 14, 2017",[]
David G Bajwa,1244532,500 Free Y,1500,4:45.85,Michigan Intercollegiate Athletic Association Championships, 2023,"Feb 16, 2023",[]
David G Bajwa,1244532,500 Free Y,1500,4:40.61,Michigan Intercollegiate Athletic Association Championships, 2023,"Feb 16, 2023",[]
David G Bajwa,1244532,500 Free Y,1500,5:06.75,Wayne State vs. Calvin, 2023,"Jan 20, 2023",[]
David G Bajwa,1244532,500 Free Y,1500,4:41.73,Calvin Winter Invitational, 2022,"Dec 01, 2022",[]
David G Bajwa,1244532,500 Free Y,1500,4:45.25,Calvin Winter Invitational, 2022,"Dec 01, 2022",[]
David G Bajwa,1244532,500 Free Y,1500,4:56.87,Calvin Quad, 2022,"Nov 04, 2022",[]
David G Bajwa,1244532,500 Free Y,1500,4:58.27,Calvin vs. Grand Valley, 2022,"Oct 14, 2022",[]
David G Bajwa,1244532,500 Free Y,1500,5:11.40,Grand Valley vs. Calvin, 2021,"Oct 23, 2021",[]
David G Bajwa,1244532,500 Free Y,1500,4:54.58,PV February Distance Meet, 2021,"Feb 20, 2021",[]
David G Bajwa,1244532,500 Free Y,1500,4:50.90,Potomac Valley Junior Championship, 2020,"Mar 07, 2020",[]
David G Bajwa,1244532,500 Free Y,1500,4:52.16,Potomac Valley Junior Championship, 2020,"Mar 07, 2020",[]
David G Bajwa,1244532,500 Free Y,1500,4:55.43,PV DCPR 34th Black History Invitational, 2020,"Feb 14, 2020",[]
David G Bajwa,1244532,500 Free Y,1500,5:09.12,Madeira_NCS_STA_Heights, 2019,"Dec 10, 2019",[]
David G Bajwa,1244532,500 Free Y,1500,5:06.22,VA HOKI Thanksgiving Invitational, 2019,"Nov 02, 2019",[]
David G Bajwa,1244532,500 Free Y,1500,5:04.55,Potomac Valley Spring Championships, 2019,"Mar 22, 2019",[]
David G Bajwa,1244532,500 Free Y,1500,5:07.23,Washington Metropolitan Prep School League Championship, 2019,"Feb 08, 2019",[]
David G Bajwa,1244532,500 Free Y,1500,5:12.89,Washington Metropolitan Prep School League Championship, 2019,"Feb 03, 2019",[]
David G Bajwa,1244532,500 Free Y,1500,5:09.64,Washington Metropolitan Prep School League Championship, 2019,"Feb 03, 2019",[]
David G Bajwa,1244532,500 Free Y,1500,5:03.91,National Catholic Swimming & Diving Championship, 2019,"Jan 19, 2019",[]
David G Bajwa,1244532,500 Free Y,1500,5:05.85,PV Turkey Claus Showdown, 2018,"Nov 29, 2018",[]
David G Bajwa,1244532,500 Free Y,1500,5:26.50,WMPSSDL Championships, 2018,"Feb 04, 2018",[]
David G Bajwa,1244532,500 Free Y,1500,5:34.04,WMPSSDL Championships, 2018,"Feb 04, 2018",[]
David G Bajwa,1244532,500 Free Y,1500,5:38.51,VA HOKI H2okie Thanksgiving Invitational, 2017,"Nov 04, 2017",[]
David G Bajwa,1244532,1000 Free Y,11000,10:44.65,Wayne State vs. Calvin, 2023,"Jan 20, 2023",[]
David G Bajwa,1244532,1000 Free Y,11000,10:38.95,"Denison vs. Calvin, Carnegie Mellon", 2023,"Jan 14, 2023",[]
David G Bajwa,1244532,1000 Free Y,11000,10:16.83,Kalamazoo vs. Calvin vs. Olivet, 2022,"Nov 11, 2022",[]
David G Bajwa,1244532,1000 Free Y,11000,10:22.28,Chicago vs. Calvin vs. DePauw, 2022,"Jan 29, 2022",[]
David G Bajwa,1244532,1000 Free Y,11000,10:05.16,Calvin vs. Hillsdale vs Davenport, 2022,"Jan 21, 2022",[]
David G Bajwa,1244532,1000 Free Y,11000,10:17.16,Calvin Winter Invite, 2021,"Dec 02, 2021",['Extracted']
David G Bajwa,1244532,1000 Free Y,11000,10:22.27,Grand Valley vs. Calvin, 2021,"Oct 23, 2021",[]
David G Bajwa,1244532,1000 Free Y,11000,10:07.29,Potomac Valley SC Senior Championships, 2020,"Mar 08, 2020",['Extracted']
David G Bajwa,1244532,1000 Free Y,11000,10:14.64,VA MACH Turkey Claus, 2019,"Dec 05, 2019",[]
David G Bajwa,1244532,1000 Free Y,11000,10:20.30,Potomac Valley Senior Championships, 2019,"Mar 07, 2019",[]
David G Bajwa,1244532,1000 Free Y,11000,10:38.72,VA HOKI November Invitational, 2018,"Nov 09, 2018",[]
David G Bajwa,1244532,1000 Free Y,11000,11:16.74,Turkey Claus Showdown, 2017,"Nov 30, 2017",[]
David G Bajwa,1244532,1000 Free Y,11000,11:38.13,VA HOKI H2okie Thanksgiving Invitational, 2017,"Nov 03, 2017",[]
David G Bajwa,1244532,1650 Free Y,11650,17:26.70,Calvin Winter Invite, 2021,"Dec 02, 2021",[]
David G Bajwa,1244532,1650 Free Y,11650,16:41.98,Potomac Valley SC Senior Championships, 2020,"Mar 08, 2020",[]
David G Bajwa,1244532,1650 Free Y,11650,17:20.95,Potomac Valley Senior Championships, 2019,"Mar 10, 2019",[]
David G Bajwa,1244532,1650 Free Y,11650,17:59.40,PV February Distance Meet, 2019,"Feb 10, 2019",[]
David G Bajwa,1244532,50 Back Y,250,20.38,NCAA Division III Championship, 2024,"Mar 21, 2024",['Relay Leadoff']
David G Bajwa,1244532,50 Back Y,250,20.30,NCAA Division III Championship, 2024,"Mar 21, 2024",['Relay Leadoff']
David G Bajwa,1244532,50 Back Y,250,20.01,NCAA Division III Championship, 2024,"Mar 20, 2024",[]
David G Bajwa,1244532,50 Back Y,250,20.05,NCAA Division III Championship, 2024,"Mar 20, 2024",[]
David G Bajwa,1244532,50 Back Y,250,20.09,MIAA Championships, 2024,"Feb 22, 2024",[]
David G Bajwa,1244532,50 Back Y,250,20.03,MIAA Championships, 2024,"Feb 22, 2024",[]
David G Bajwa,1244532,50 Back Y,250,20.50,CMU Quad Meet, 2024,"Jan 13, 2024",['Relay Leadoff']
David G Bajwa,1244532,50 Back Y,250,21.35,GCC v Calvin, 2024,"Jan 12, 2024",['Relay Leadoff']
David G Bajwa,1244532,50 Back Y,250,20.97,Calvin Winter Invitational, 2023,"Dec 02, 2023","['Extracted', 'Relay Leadoff']"
David G Bajwa,1244532,50 Back Y,250,20.01,Calvin Winter Invitational, 2023,"Nov 30, 2023","['NCAA Division III Championship', 'Relay Leadoff']"
